Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
10/2009 ASTU;Principado de Asturias;Asturias;Aller;Mina Peregrina (Los Estruyones, AS-112 entre los Kms 12 y 13;NO EXHUMADA, PERO DIGNIFICADA;DESCONOCIDO;10;N
100/2009 VALL;Castilla y León;Valladolid;Pedraja de Portillo, La;PUENTE DE COMPASQUILLO;EXHUMADA TOTAL;-;-;N
1000/2009 VIZC;País Vasco;Vizcaya;Arrigorriaga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1001/2009 VIZC;País Vasco;Vizcaya;Bermeo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1002/2009 VIZC;País Vasco;Vizcaya;Busturia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1003/2009 VIZC;País Vasco;Vizcaya;Carranza;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1004/2009 VIZC;País Vasco;Vizcaya;Durango;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1005/2009 VIZC;País Vasco;Vizcaya;Fruiz;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1006/2009 VIZC;País Vasco;Vizcaya;Markina-Xemein;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1007/2009 VIZC;País Vasco;Vizcaya;Gordexola;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1008/2009 VIZC;País Vasco;Vizcaya;Güeñes;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1009/2009 VIZC;País Vasco;Vizcaya;Balmaseda;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1010/2009 VIZC;País Vasco;Vizcaya;Gernika-Lumo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1011/2009 VIZC;País Vasco;Vizcaya;Loiu;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1012/2009 VIZC;País Vasco;Vizcaya;Muxika;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1013/2009 NAVA;Comunidad Foral de Navarra;Navarra;Murieta;Cementerio de Murieta;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1014/2009 VIZC;País Vasco;Vizcaya;Otxandio;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1015/2009 VIZC;País Vasco;Vizcaya;Orduña;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1016/2009 VIZC;País Vasco;Vizcaya;Santurtzi;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1017/2009 VIZC;País Vasco;Vizcaya;Zalla;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1018/2009 RIOJ;La Rioja;La Rioja;Logroño;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1019/2009 CACE;Extremadura;Cáceres;Trujillo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
102/2009 VALL;Castilla y León;Valladolid;Velilla;CERCA DEL CEMENTERIO;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
1020/2009 CACE;Extremadura;Cáceres;Valdelacasa de Tajo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1021/2009 CACE;Extremadura;Cáceres;Villar del Pedroso;Cementerio de Villar del Pedroso;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1022/2009 CACE;Extremadura;Cáceres;Logrosán;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1023/2009 CACE;Extremadura;Cáceres;Cáceres;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1024/2009 CACE;Extremadura;Cáceres;Miajadas;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1025/2009 CACE;Extremadura;Cáceres;Plasencia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1026/2009 SEGO;Castilla y León;Segovia;Segovia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1027/2009 LERI;Cataluña;Lleida;Pobla de Segur, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1028/2009 LERI;Cataluña;Lleida;Mollerussa;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1029/2009 LERI;Cataluña;Lleida;Soleràs, El;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
103/2009 VALL;Castilla y León;Valladolid;Boecillo;"Fosa en el paraje ""La mata de las muertas";EXHUMADA TOTAL;-;-;N
1030/2009 LERI;Cataluña;Lleida;Granadella, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1031/2009 GERO;Cataluña;Girona;Amer;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1032/2009 GERO;Cataluña;Girona;Bolvir;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1034/2009 GERO;Cataluña;Girona;Fontanals de Cerdanya;Caixans;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1035/2009 GERO;Cataluña;Girona;Celrà;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1036/2009 GERO;Cataluña;Girona;Escala, l;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1037/2009 GERO;Cataluña;Girona;Figueres;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1038/2009 GRAN;Andalucía;Granada;Gor;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1039/2009 GERO;Cataluña;Girona;Garrigoles;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
104/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa en ""El Rodaco";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1040/2009 GERO;Cataluña;Girona;Girona;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1041/2009 GERO;Cataluña;Girona;Lloret de Mar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1042/2009 GERO;Cataluña;Girona;Pardines;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1044/2009 GERO;Cataluña;Girona;Ripoll;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1045/2009 GERO;Cataluña;Girona;Sant Feliu de Guíxols;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1046/2009 GERO;Cataluña;Girona;Sant Ferriol;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1047/2009 GERO;Cataluña;Girona;Sant Gregori;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1048/2009 GERO;Cataluña;Girona;Sant Julià de Ramis;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1049/2009 GERO;Cataluña;Girona;Sant Martí de Llémena;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
105/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa en ""El Bravón de la Fuente"" (Cabruñana)";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1050/2009 GERO;Cataluña;Girona;Sant Miquel de Campmajor;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1051/2009 GERO;Cataluña;Girona;Sarrià de Ter;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1052/2009 GERO;Cataluña;Girona;Tallada d´Empordà, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1053/2009 GERO;Cataluña;Girona;Terrades;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1054/2009 GERO;Cataluña;Girona;Tortellà;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1055/2009 GERO;Cataluña;Girona;Toses;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1056/2009 GERO;Cataluña;Girona;Vilademuls;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1057/2009 GERO;Cataluña;Girona;Viladrau;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1058/2009 MADR;Comunidad de Madrid;Madrid;Sevilla la Nueva;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1059/2009 MADR;Comunidad de Madrid;Madrid;Arganda del Rey;-;TRASLADADA AL VALLE DE LOS CAÍDOS;EJECUCIONES EXTRAJUDICIALES;4;N
106/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa ""Las Coruxeras"" en Grao capital, paseo paralelo al río";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1060/2009 MADR;Comunidad de Madrid;Madrid;Navas del Rey;Cementerio de Navas del Rey;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1061/2009 LEON;Castilla y León;León;Villaquilambre;Navatejera;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1062/2009 LEON;Castilla y León;León;Astorga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1063/2009 LEON;Castilla y León;León;Astorga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1064/2009 LEON;Castilla y León;León;Boñar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1065/2009 LEON;Castilla y León;León;Valdelugueros;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1066/2009 LEON;Castilla y León;León;Acebedo;La Uña;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1067/2009 LEON;Castilla y León;León;Sabero;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1068/2009 LEON;Castilla y León;León;León;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1069/2009 ALME;Andalucía;Almería;Almería;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
107/2009 ASTU;Principado de Asturias;Asturias;Grado;Fosa de Ambás;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1070/2009 ALME;Andalucía;Almería;Illar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1071/2009 MADR;Comunidad de Madrid;Madrid;Brunete;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1072/2009 MADR;Comunidad de Madrid;Madrid;Valdemaqueda;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1073/2009 MADR;Comunidad de Madrid;Madrid;Guadarrama;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1074/2009 MADR;Comunidad de Madrid;Madrid;Fresnedillas de la Oliva;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1075/2009 MADR;Comunidad de Madrid;Madrid;Valdemorillo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;EJECUCIONES EXTRAJUDICIALES;4;N
1076/2009 MADR;Comunidad de Madrid;Madrid;Boadilla del Monte;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1077/2009 MADR;Comunidad de Madrid;Madrid;Fuenlabrada;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1078/2009 MADR;Comunidad de Madrid;Madrid;Pinilla del Valle;Antiguo cementerio de Pinilla del Valle;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1079/2009 MADR;Comunidad de Madrid;Madrid;Getafe;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
108/2009 VALL;Castilla y León;Valladolid;Quintanilla de Onésimo;Fosa en el monte de La Planta de Quintanilla de Abajo;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1080/2009 MADR;Comunidad de Madrid;Madrid;Robregordo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1081/2009 MADR;Comunidad de Madrid;Madrid;Valdemoro;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1082/2009 HUES;Aragón;Huesca;Jaca;Cementerio de Guasa;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;-;N
1084/2009 MADR;Comunidad de Madrid;Madrid;Parla;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1085/2009 MADR;Comunidad de Madrid;Madrid;Valdelaguna;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1086/2009 SORI;Castilla y León;Soria;Pinilla del Campo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1087/2009 LUGO;Galicia;Lugo;Muras;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1088/2009 PONT;Galicia;Pontevedra;Mondariz;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1089/2009 PONT;Galicia;Pontevedra;Vigo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
109/2009 ASTU;Principado de Asturias;Asturias;Grado;Fosa de Somines, junto a la casa La Parrada;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1090/2009 PONT;Galicia;Pontevedra;Salceda de Caselas;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1091/2009 PONT;Galicia;Pontevedra;Pontevedra;-;TRASLADADA AL VALLE DE LOS CAÍDOS Y DIGNIFICADA;-;11;N
1092/2009 PONT;Galicia;Pontevedra;Cerdedo;-;TRASLADADA AL VALLE DE LOS CAÍDOS Y DIGNIFICADA;-;11;N
1093/2009 PONT;Galicia;Pontevedra;Mondariz;Balneario;TRASLADADA AL VALLE DE LOS CAÍDOS Y DIGNIFICADA;-;11;N
1094/2009 TARR;Cataluña;Tarragona;Horta de Sant Joan;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1095/2009 TARR;Cataluña;Tarragona;Arnes;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1096/2009 TARR;Cataluña;Tarragona;Bot;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1097/2009 TARR;Cataluña;Tarragona;Gandesa;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1098/2009 TARR;Cataluña;Tarragona;Vilalba dels Arcs;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1099/2009 TARR;Cataluña;Tarragona;Miravet;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
11/2009 ASTU;Principado de Asturias;Asturias;Aller;2 fosas en  Prau Llerón;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);10;N
110/2009 ASTU;Principado de Asturias;Asturias;Grandas de Salime;Fosa 1 en el Alto del Acebo;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
1100/2009 TARR;Cataluña;Tarragona;Corbera d´Ebre;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1101/2009 HUES;Aragón;Huesca;Gurrea de Gállego;Fosa en Gurrea de Gállego al borde de carretera que conduce a la autovía Huesca-Zaragoza;NO EXHUMADA, PERO DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;11;N
1102/2009 TARR;Cataluña;Tarragona;Rodonyà;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1103/2009 TARR;Cataluña;Tarragona;Espluga de Francolí, l;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1104/2009 TARR;Cataluña;Tarragona;Vimbodí;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1105/2009 TARR;Cataluña;Tarragona;Santa Bàrbara;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1106/2009 TARR;Cataluña;Tarragona;Batea;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1107/2009 TARR;Cataluña;Tarragona;Valls;Fosa en el cementerio de Picamoixons;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;-;S
1108/2009 TARR;Cataluña;Tarragona;Tarragona;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1109/2009 CADI;Andalucía;Cádiz;Cádiz;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
111/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Fosa en el Cementerio de Balsera;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1110/2009 CANT;Cantabria;Cantabria;Santander;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1111/2009 MALA;Andalucía;Málaga;Málaga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1112/2009 MALA;Andalucía;Málaga;Tolox;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1113/2009 MALA;Andalucía;Málaga;Arriate;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1114/2009 MALA;Andalucía;Málaga;Ronda;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1115/2009 MALA;Andalucía;Málaga;Alcaucín;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1116/2009 MALA;Andalucía;Málaga;Cañete la Real;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1117/2009 MALA;Andalucía;Málaga;Valle de Abdalajís;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1118/2009 BURG;Castilla y León;Burgos;Sargentes de la Lora;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1119/2009 BURG;Castilla y León;Burgos;Arenillas de Riopisuerga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
112/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Fosa en el Cementerio de Valduno;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1120/2009 BURG;Castilla y León;Burgos;Aranda de Duero;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1121/2009 BURG;Castilla y León;Burgos;Alfoz de Bricia;Cilleruelo de Bricia);TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1122/2009 BURG;Castilla y León;Burgos;Burgos;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1123/2009 BURG;Castilla y León;Burgos;Briviesca;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1124/2009 BURG;Castilla y León;Burgos;Espinosa de los Monteros;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1125/2009 BURG;Castilla y León;Burgos;Villarcayo de Merindad de Castilla la Vieja;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1126/2009 BURG;Castilla y León;Burgos;Valle de Sedano;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1127/2009 MALA;Andalucía;Málaga;Benarrabá;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1128/2009 ASTU;Principado de Asturias;Asturias;Peñamellera Alta;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1129/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
113/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Cementerio Santullano;NO INTERVENIDA;-;-;N
1130/2009 ASTU;Principado de Asturias;Asturias;Navia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1131/2009 ASTU;Principado de Asturias;Asturias;Carreño;Candás;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1132/2009 ASTU;Principado de Asturias;Asturias;Langreo;Sama de Langreo;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1133/2009 ASTU;Principado de Asturias;Asturias;Cangas de Onís;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1134/2009 ASTU;Principado de Asturias;Asturias;Cabrales;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1135/2009 ASTU;Principado de Asturias;Asturias;Piloña;Infiesto;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1136/2009 LEON;Castilla y León;León;Cabreros del Río;Fosa en el Monte de Jabares de Otero;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
1137/2009 ASTU;Principado de Asturias;Asturias;Teverga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1138/2009 ASTU;Principado de Asturias;Asturias;Grado;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1139/2009 ASTU;Principado de Asturias;Asturias;Gijón;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
114/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Fosa en el Cementerio de Biedes;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1140/2009 LEON;Castilla y León;León;Valverde de la Virgen;Fosa en las inmediaciones de Virgen del Camino;DESAPARECIDA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
1141/2009 ASTU;Principado de Asturias;Asturias;Llanes;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1142/2009 ASTU;Principado de Asturias;Asturias;Oviedo;Cementerio de San Pedro de los Arcos;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1143/2009 TERU;Aragón;Teruel;Teruel;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1144/2009 TERU;Aragón;Teruel;Cella;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1145/2009 TERU;Aragón;Teruel;Santa Eulalia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1146/2009 GRAN;Andalucía;Granada;Alhama de Granada;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1147/2009 GRAN;Andalucía;Granada;Almuñécar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1148/2009 GRAN;Andalucía;Granada;Granada;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1149/2009 GRAN;Andalucía;Granada;Polopos;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
115/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Fosa en el Cementerio de San Pedro de Nora;NO INTERVENIDA;MUERTOS EN COMBATE;-;N
1150/2009 GRAN;Andalucía;Granada;Loja;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1151/2009 GRAN;Andalucía;Granada;Gualchos;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1152/2009 GRAN;Andalucía;Granada;Darro;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1153/2009 LEON;Castilla y León;León;Carrocera;Fosa en el término municipal de Carrocera;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
1154/2009 GRAN;Andalucía;Granada;Colomera;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1155/2009 ZARA;Aragón;Zaragoza;Zaragoza;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1156/2009 ZARA;Aragón;Zaragoza;Gallur;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1157/2009 ZARA;Aragón;Zaragoza;Mozota;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1158/2009 ZARA;Aragón;Zaragoza;Cariñena;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1159/2009 ZARA;Aragón;Zaragoza;Leciñena;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
116/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;Fosa en Landrio, El Molín de Xilu;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;10;N
1160/2009 ZARA;Aragón;Zaragoza;San Mateo de Gállego;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1161/2009 ZARA;Aragón;Zaragoza;Maella;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1162/2009 ZARA;Aragón;Zaragoza;Ateca;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1163/2009 ZARA;Aragón;Zaragoza;Calatayud;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1164/2009 ZARA;Aragón;Zaragoza;Uncastillo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1165/2009 ZARA;Aragón;Zaragoza;Borja;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1166/2009 ZARA;Aragón;Zaragoza;Jaulín;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1167/2009 ZARA;Aragón;Zaragoza;Figueruelas;Fosa en el exterior del cementerio de Figueruelas;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1168/2009 HUES;Aragón;Huesca;Gurrea de Gállego;Fosa en Gurrea de Gállego, a la entrada del pueblo cuando se viaja desde Huesca;NO EXHUMADA, PERO DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;11;N
1169/2009 HUES;Aragón;Huesca;Gurrea de Gállego;Cementerio de Gurrea de Gállego;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;-;N
117/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;"Fosa en ""Las Ablanosas";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1170/2009 ZARA;Aragón;Zaragoza;Fuendetodos;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1171/2009 ZARA;Aragón;Zaragoza;Mediana de Aragón;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1172/2009 ZARA;Aragón;Zaragoza;Villanueva de Gállego;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1173/2009 ZARA;Aragón;Zaragoza;Quinto;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1174/2009 ZARA;Aragón;Zaragoza;Maella;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1175/2009 ZARA;Aragón;Zaragoza;Zaida, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1176/2009 ZARA;Aragón;Zaragoza;Atea;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1177/2009 HUES;Aragón;Huesca;Gurrea de Gállego;Fosa en Monte de Pilatos de la localidad de Gurrea de Gállego;NO EXHUMADA, PERO DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;11;N
1178/2009 ZARA;Aragón;Zaragoza;Calatayud;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1179/2009 ZARA;Aragón;Zaragoza;Monreal de Ariza;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
118/2009 ASTU;Principado de Asturias;Asturias;Regueras, Las;El Pradón de los Vascos (Areces);EXHUMADA PARCIAL;EJECUCIONES EXTRAJUDICIALES;8;N
1180/2009 ZARA;Aragón;Zaragoza;Codos;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1181/2009 ZARA;Aragón;Zaragoza;Morata de Jalón;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1182/2009 ZARA;Aragón;Zaragoza;Mara;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1183/2009 ZARA;Aragón;Zaragoza;Sigüés;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1184/2009 ZARA;Aragón;Zaragoza;Biota;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1185/2009 ZARA;Aragón;Zaragoza;Bujaraloz;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
