Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
1976/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en Páramo;NO INTERVENIDA;-;-;N
1977/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en el Pozo Tánaro (Villanueva), (carretera TE-1);NO EXHUMADA, PERO DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;10;N
1978/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa de Cotarrén (Entrago), (AS-228,Km 27);NO INTERVENIDA;-;-;N
1979/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa de Cueva la Fragua (Privilegio de Páramo) (AS-228, Km 36,5);NO INTERVENIDA;-;-;N
198/2009 ASTU;Principado de Asturias;Asturias;Parres;Fosa del Fitu;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;10;N
1980/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa de El Cotoballón (entre Las Vegas y Riello), (AS 228 en la margen derecha del río Valdesampedro);NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1981/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa de la Huerta de Chalo (San Martín de Teverga);NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1982/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en las Huertas de la Muela, detrás del Cuartel de la Guardia Civil de Entrago;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1983/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en el prado anexo al cementerio de La Plaza;DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;10;N
1984/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en la pomarada del Palacio de Entrago (El Canto);EXHUMADA TOTAL;-;-;N
1985/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en la zona de Bichareche (Entrago, junto a la fuente, AS-228);NO INTERVENIDA;-;-;N
1986/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en La Peña Negra de Entrago;NO INTERVENIDA;-;-;N
1987/2010 ASTU;Principado de Asturias;Asturias;Tineo;Fosa en el Alto de la Llama, TI-6 entre Puelo y Arganza;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;10;N
1988/2010 ASTU;Principado de Asturias;Asturias;Valdés;Fosa en Trevías;NO INTERVENIDA;-;-;N
199/2009 ASTU;Principado de Asturias;Asturias;Parres;Fosa de Arenes de Parres;NO EXHUMADA, PERO DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;10;N
1990/2010 GRAN;Andalucía;Granada;Lecrín;Fosa bajo los muros de contención de la autovía Granada-Motril N-323;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);2;N
1991/2010 GRAN;Andalucía;Granada;Valle, El;Fosa del Puente de los Hijones;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
1992/2010 GRAN;Andalucía;Granada;Villamena;Fosa en el cementerio de Cónchar;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1993/2010 GRAN;Andalucía;Granada;Valle, El;Fosa en el cementerio antiguo de Melegís;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1994/2010 GRAN;Andalucía;Granada;Valle, El;Fosa en finca privada frente al cementerio de Melegís;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1995/2010 GRAN;Andalucía;Granada;Valle, El;Fosa en el cementerio de Restabal;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);1;N
1996/2010 GRAN;Andalucía;Granada;Padul;Fosa en el camino del cerro El Manar;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
1997/2010 GRAN;Andalucía;Granada;Padul;Fosa en el cementerio de Padul;EXHUMADA PARCIAL;EJECUCIONES EXTRAJUDICIALES;-;N
1998/2010 GRAN;Andalucía;Granada;Lecrín;Fosa 'abierta' en el cementerio de Béznar;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);1;N
1999/2010 GRAN;Andalucía;Granada;Pinar, El;Fosa en la entrada del cementerio de Pinos del Valle;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2/2009 SEVI;Andalucía;Sevilla;Rubio, El;Fosa 1 en el Cementerio viejo de El Rubio;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);5;N
20/2009 ASTU;Principado de Asturias;Asturias;Aller;Fosa en Caborana;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
200/2009 ASTU;Principado de Asturias;Asturias;Piloña;Fosa en el Cementerio de Infiesto;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);1;N
2000/2010 GRAN;Andalucía;Granada;Lecrín;Fosa en el cementerio de Mondújar;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2001/2010 GRAN;Andalucía;Granada;Dúrcal;Fosa en el cementerio de Dúrcal;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2002/2010 RIOJ;La Rioja;La Rioja;Logroño;Fosas en el cementerio de Logroño;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2003/2010 ASTU;Principado de Asturias;Asturias;Cangas del Narcea;Fosa en la AS-16, Cangas de Narcea-Puerto de Rañadoiro;NO INTERVENIDA;EJECUCIONES EXTRAJUDICIALES;11;N
2004/2010 LEON;Castilla y León;León;Ponferrada;Fosa en Toral de Merayo;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2005/2010 MADR;Comunidad de Madrid;Madrid;Madrid;Fosa en el Cementerio del Este;DESAPARECIDA;FUSILAMIENTO (OPCION A EXTINGUIR);1;N
2006/2010 LEON;Castilla y León;León;Burón;Fosa 'de los maestros' en Lario;EXHUMADA TOTAL;-;-;N
2007/2010 LEON;Castilla y León;León;Izagre;Fosa 'de los bañezanos' en Izagre;EXHUMADA TOTALMENTE Y DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
2008/2010 ASTU;Principado de Asturias;Asturias;Teverga;Fosa en la zona de Páramo;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2009/2010 LEON;Castilla y León;León;Benuza;Fosa en Sigueya;EXHUMADA TOTAL;-;-;N
201/2009 ASTU;Principado de Asturias;Asturias;Piloña;Cárcava de Pandalón (Montes de Sevares);NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2010/2010 LEON;Castilla y León;León;Castrocontrigo;Fosa 1 en Pinilla de la Valdería;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2011/2010 LEON;Castilla y León;León;Castrocontrigo;Fosa 2 en Pinilla de la Valdería;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
2013/2010 LEON;Castilla y León;León;Brazuelo;Fosa en el cementerio de Quintanilla de Combarros;EXHUMADA TOTAL;-;-;N
2015/2010 LPAL;Canarias;Las Palmas;Arucas;Pozo del Llano de las Brujas;EXHUMADA PARCIAL;EJECUCIONES EXTRAJUDICIALES;10;S
2016/2010 LUGO;Galicia;Lugo;Argomoso;Fosa de Argomoso;EXHUMADA TOTAL;-;-;N
2017/2010 PONT;Galicia;Pontevedra;Vilagarcía de Arousa;Fosa en el Cementerio de Cornazo;EXHUMADA TOTAL;-;-;N
2018/2010 ZARA;Aragón;Zaragoza;Torralba de Ribota;Fosa de Torralba de Ribota;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
2019/2010 ZAMO;Castilla y León;Zamora;Camarzana de Tera;Fosa de Santa Marta de Tera;EXHUMADA TOTAL;-;-;N
202/2009 ASTU;Principado de Asturias;Asturias;Piloña;Camín de los Machos (Montes de Sevares);NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2020/2010 LEON;Castilla y León;León;Izagre;Fosa 'de los estudiantes' de Albires;EXHUMADA TOTAL;-;-;N
2021/2010 ZAMO;Castilla y León;Zamora;Faramontanos de Tábara;Fosa de Faramontanos de Tábara;EXHUMADA TOTAL;-;-;N
2022/2010 ZAMO;Castilla y León;Zamora;Maire de Castroponce;Fosa en el cementerio de Maire de Castroponce;DESAPARECIDA;-;-;N
2023/2010 SEVI;Andalucía;Sevilla;Cazalla de la Sierra;Fosa común del cementerio de Cazalla de la Sierra;EXHUMADA TOTALMENTE Y DIGNIFICADA;EJECUCIONES EXTRAJUDICIALES;11;N
2024/2010 TOLE;Castilla-La Mancha;Toledo;Menasalbas;Fosa en Menasalbas;EXHUMADA TOTALMENTE Y DIGNIFICADA;-;11;N
2025/2010 PALE;Castilla y León;Palencia;Santoyo;Fosa en Santoyo;EXHUMADA TOTAL;-;-;N
2026/2010 PALE;Castilla y León;Palencia;Cisneros;Fosa de Cisneros;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2027/2010 PALE;Castilla y León;Palencia;Palencia;Fosa en el Parque 'La Carcavilla';EXHUMADA TOTAL;-;-;N
2028/2010 PALE;Castilla y León;Palencia;Frechilla;Fosa de Frechilla;EXHUMADA TOTAL;-;-;N
203/2009 ASTU;Principado de Asturias;Asturias;Piloña;Cueva de Pampanal (Maya de Pandaceu, Ogabia);NO INTERVENIDA;-;-;N
2030/2010 GRAN;Andalucía;Granada;Granada;Fosas en el cementerio de San José;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2031/2010 ALME;Andalucía;Almería;Sierro;Fosa del cementerio nuevo de Sierro;EXHUMADA TOTAL;GUERRILLERA;-;N
2032/2010 HUEL;Andalucía;Huelva;Zalamea la Real;Fosa en la finca particular junto a carretera a Calañas;EXHUMADA TOTAL;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2033/2010 HUEL;Andalucía;Huelva;Calañas;Fosas 19 y 20 Cementerio de Calañas;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
2034/2010 HUEL;Andalucía;Huelva;Almonte;Fosas en el cementerio antiguo de Almonte;DESAPARECIDA;EJECUCIONES EXTRAJUDICIALES;-;N
2035/2010 HUEL;Andalucía;Huelva;Bollullos Par del Condado;Fosas en el cementerio antiguo de Bollullos Par del Condado;DESAPARECIDA;-;-;N
2036/2010 HUEL;Andalucía;Huelva;Bonares;Fosa en el cementerio de San Rafael;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2037/2010 HUEL;Andalucía;Huelva;Chucena;Fosas en cementerio viejo de Chucena;NO INTERVENIDA;-;-;N
2038/2010 HUEL;Andalucía;Huelva;Escacena del Campo;Fosa del cementerio de Escacena del Campo;DESAPARECIDA;-;-;N
2039/2010 HUEL;Andalucía;Huelva;Lucena del Puerto;Fosa en el antiguo cementerio;DESAPARECIDA;-;-;N
204/2009 ASTU;Principado de Asturias;Asturias;Piloña;Cueva del Cuerrión (Tamezes);NO INTERVENIDA;-;-;N
2040/2010 HUEL;Andalucía;Huelva;Lucena del Puerto;Fosa en la carretera de Lucena a Bonares;NO INTERVENIDA;-;-;N
2041/2010 HUEL;Andalucía;Huelva;Rociana del Condado;Fosa en el cementerio de Rociana del Condado;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2042/2010 HUEL;Andalucía;Huelva;Villarrasa;Fosa en el cementerio de Villarrasa;NO INTERVENIDA;-;-;N
2043/2010 HUEL;Andalucía;Huelva;Ayamonte;Fosa en el cementerio de Ayamonte;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2044/2010 HUEL;Andalucía;Huelva;Beas;Fosa en el cementerio de Beas;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2045/2010 HUEL;Andalucía;Huelva;Cartaya;Fosa en el antiguo cementerio de Cartaya;DESAPARECIDA;-;-;N
